rdkit_library_standard_inchi_key,protein_name,Compound-protein pairs,Unique compound–Mu-type opioid receptor pairs:,% MOR compound-target-pairs,,rdkit_parent_structure_inchi_key,Unique_single_fragment_structures,,Column Names,Statistics Label,Statistics,Totals,,,,,,,
KIWYTHJPWBFZPM-AGQYDFLVSA-N,Kappa-type opioid receptor,,,,,FTRDSYLIWZRYMR-OAXZOYPSSA-N,,,,,,,,,,,,,
SCFOTQFUDWXWNV-WFOQEEKOSA-N,Kappa-type opioid receptor,,,,,DDKFTHZZAMZZQN-UHFFFAOYSA-N,,,,,,,,,,,,,
ZMMLDLJAIWFEMI-CEFSSPBYSA-N,Kappa-type opioid receptor,,,,,COQZBDBMRLFDRK-XGTKUTNFSA-N,,,,,,,,,,,,,
MPJYQVPXSUIDAH-CEFSSPBYSA-N,Kappa-type opioid receptor,,,,,RLMOTQVLMGTZLD-JOCHJYFZSA-N,,,,,,,,,,,,,
SGNJGRJIPDONNA-CEFSSPBYSA-N,Kappa-type opioid receptor,,,,,ZFFNCDOHICCJFJ-UHFFFAOYSA-N,,,,,,,,,,,,,
FEFMJOPUFJIWMP-BQPBPTIBSA-N,Kappa-type opioid receptor,,,,,ORXRTTWNKSJYCY-UHFFFAOYSA-N,,,,,,,,,,,,,
SHPQMCUDHJJTAU-CEFSSPBYSA-N,Kappa-type opioid receptor,,,,,HCQKPNWGBSJSPN-UHFFFAOYSA-N,,,,,,,,,,,,,
CNKJBJRRUBVYPB-XIUCMHNBSA-N,Kappa-type opioid receptor,,,,,QLOPMFWLQWNBML-UHFFFAOYSA-N,,,,,,,,,,,,,
ZQZLNUMNWMAXIZ-KTOYNHEESA-N,Delta-type opioid receptor,,,,,ZSXFIQRCVUEZOS-UHFFFAOYSA-N,,,,,,,,,,,,,
ZQZLNUMNWMAXIZ-KTOYNHEESA-N,Kappa-type opioid receptor,,,,,ZHPMYDSXGRRERG-XMMPIXPASA-N,,,,,,,,,,,,,
ZQZLNUMNWMAXIZ-KTOYNHEESA-N,Mu-type opioid receptor,,,,,VTFUYBNMSGPAQU-JKGBFCRXSA-N,,,,,,,,,,,,,
TVKLAUXNUZFODG-VLMXICCQSA-N,Delta-type opioid receptor,,,,,VHESADBTUOCYJU-UHFFFAOYSA-N,,,,,,,,,,,,,
HQBZLVPZOGIAIQ-GQWBRKQSSA-N,Kappa-type opioid receptor,,,,,BKHDQINKYHBACN-JOCHJYFZSA-N,,,,,,,,,,,,,
OROGSEYTTFOCAN-DNJOTXNNSA-N,Mu-type opioid receptor,,,,,IXFUXXZRMXAXCX-UHFFFAOYSA-N,,,,,,,,,,,,,
OROGSEYTTFOCAN-DNJOTXNNSA-N,Kappa-type opioid receptor,,,,,YLRVVUNTBVYUEG-UHFFFAOYSA-N,,,,,,,,,,,,,
OROGSEYTTFOCAN-DNJOTXNNSA-N,Delta-type opioid receptor,,,,,IRLOSWARLISUMJ-UHFFFAOYSA-N,,,,,,,,,,,,,
VAAVZLJWXZUIAH-GOSISDBHSA-N,Kappa-type opioid receptor,,,,,PMAXWGAUDDWHOX-UMRDZTPJSA-N,,,,,,,,,,,,,
VAAVZLJWXZUIAH-GOSISDBHSA-N,Mu-type opioid receptor,,,,,NVBRNLISXDHYIA-CBDXKTNESA-N,,,,,,,,,,,,,
YSOGVALWKIZBQN-BZDBOOMWSA-N,Opioid receptor (unselective),,,,,MRCAQWKACIKITP-KXTCSVQQSA-N,,,,,,,,,,,,,
GEEWMWWZQHKOGH-ALNMUMNJSA-N,Delta-type opioid receptor,,,,,UQHGZONWCQCFEK-UHFFFAOYSA-N,,,,,,,,,,,,,
GEEWMWWZQHKOGH-ALNMUMNJSA-N,Nociceptin receptor,,,,,ADGBJGBZINGZOT-UHFFFAOYSA-N,,,,,,,,,,,,,
IUSZCRDELGBLII-JTTXIWGLSA-N,Mu-type opioid receptor,,,,,ITLYXDNRBUUVNH-UHFFFAOYSA-N,,,,,,,,,,,,,
NZCUONOJSJVNOY-JJIKELEOSA-N,Delta-type opioid receptor,,,,,KSHPZZJWHIWTSE-UHFFFAOYSA-N,,,,,,,,,,,,,
NZCUONOJSJVNOY-JJIKELEOSA-N,Kappa-type opioid receptor,,,,,KHTWCFUYZMYKIU-UHFFFAOYSA-N,,,,,,,,,,,,,
FZDIMXLFHUBMEZ-KHRRJGGGSA-N,Kappa-type opioid receptor,,,,,STBZVBNQAGOWPH-ACEFPKFPSA-N,,,,,,,,,,,,,
FZDIMXLFHUBMEZ-JJIKELEOSA-N,Delta-type opioid receptor,,,,,HSFBFNDPFKSIJK-TXDWVUBVSA-N,,,,,,,,,,,,,
FZDIMXLFHUBMEZ-KTLUODIZSA-N,Mu-type opioid receptor,,,,,CIANKZFHYOIKRY-KOUNCHBCSA-N,,,,,,,,,,,,,
FZDIMXLFHUBMEZ-KTLUODIZSA-N,Nociceptin receptor,,,,,KPNWEHZMMBQVLY-ABLQWNKLSA-N,,,,,,,,,,,,,
OIJXLIIMXHRJJH-KNLIIKEYSA-N,Kappa-type opioid receptor,,,,,GJFLZGCDXSDABO-RFBOAJLRSA-N,,,,,,,,,,,,,
RKZWIZBLUWIFIU-CLPMPKECSA-N,Mu-type opioid receptor,,,,,QORZLVRQZMNLOM-UHFFFAOYSA-N,,,,,,,,,,,,,
ZJWLLKDFIVSMLY-WUHZNUJESA-N,Mu-type opioid receptor,,,,,DQAHFXNORWIJPU-UHFFFAOYSA-N,,,,,,,,,,,,,
DKKZOBLVKGLPBV-CGBQWWFNSA-N,Mu-type opioid receptor,,,,,MRCAQWKACIKITP-SMDQWTPUSA-N,,,,,,,,,,,,,
QYHVPWDIPSDDCT-RNOORVPFSA-N,Mu-type opioid receptor,,,,,DYHQYCYDCNSBOK-YUMVNWRRSA-N,,,,,,,,,,,,,
QYHVPWDIPSDDCT-RNOORVPFSA-N,Kappa-type opioid receptor,,,,,FMABZRUGTFUOAV-QVUVTZRVSA-N,,,,,,,,,,,,,
QYHVPWDIPSDDCT-QDVRVZIDSA-N,Delta-type opioid receptor,,,,,ABLVJJLALUMAFD-PHHKLJIESA-N,,,,,,,,,,,,,
XEBPZHOPFBWRJR-GVOMISRNSA-N,Kappa-type opioid receptor,,,,,PLUMIBDAPFTPHI-UHFFFAOYSA-N,,,,,,,,,,,,,
XEBPZHOPFBWRJR-GVOMISRNSA-N,Delta-type opioid receptor,,,,,ZMXQCBKGVXUJDY-UHFFFAOYSA-N,,,,,,,,,,,,,
ZVZIAWYLQBHCMQ-HETHIKCESA-N,Delta-type opioid receptor,,,,,MTHISUNMAUDCTA-UHFFFAOYSA-N,,,,,,,,,,,,,
HBZXEVSHHICNOU-PQBYYLDZSA-N,Nociceptin receptor,,,,,ALCQOUNQFVEEKI-UHFFFAOYSA-N,,,,,,,,,,,,,
AGFBWCLIEGGCOZ-PPMCTTEPSA-N,Kappa-type opioid receptor,,,,,VIDYBWQATDXOHH-UHFFFAOYSA-N,,,,,,,,,,,,,
IUSZCRDELGBLII-JTTXIWGLSA-N,Nociceptin receptor,,,,,PRNBTKYAMOLYOE-UHFFFAOYSA-N,,,,,,,,,,,,,
IUSZCRDELGBLII-JTTXIWGLSA-N,Delta-type opioid receptor,,,,,RADODKJLZRLHCQ-UHFFFAOYSA-N,,,,,,,,,,,,,
IUSZCRDELGBLII-JTTXIWGLSA-N,Kappa-type opioid receptor,,,,,GHAPLJBHDSIAQF-ZLFJBEIYSA-N,,,,,,,,,,,,,
JMCOUXKMURIBCQ-VTRXWXBFSA-N,Mu-type opioid receptor,,,,,RMFGZBFRUYKMOT-UHFFFAOYSA-N,,,,,,,,,,,,,
JMCOUXKMURIBCQ-VTRXWXBFSA-N,Kappa-type opioid receptor,,,,,DDQFJPGOPGFERI-UHFFFAOYSA-N,,,,,,,,,,,,,
NNCXIZTWNQJHHE-KTNFDRHGSA-N,Kappa-type opioid receptor,,,,,NJHBOQUHSQOEQQ-UHFFFAOYSA-N,,,,,,,,,,,,,
NNCXIZTWNQJHHE-KTNFDRHGSA-N,Mu-type opioid receptor,,,,,QKQBZZDURLHJMJ-UHFFFAOYSA-N,,,,,,,,,,,,,
ZFEHARSLMJCXHZ-PPMCTTEPSA-N,Kappa-type opioid receptor,,,,,MJFVZGPGHHUVND-UHFFFAOYSA-N,,,,,,,,,,,,,
JFMUOBGOYHFCLV-PPMCTTEPSA-N,Mu-type opioid receptor,,,,,IAPCGFXZQBWWFU-UHFFFAOYSA-N,,,,,,,,,,,,,
ZTGGBCGJFNFNKQ-KTLUODIZSA-N,Mu-type opioid receptor,,,,,MJVSDWUKXXUPBE-UHFFFAOYSA-N,,,,,,,,,,,,,
ZTGGBCGJFNFNKQ-KTLUODIZSA-N,Kappa-type opioid receptor,,,,,JXJHGHFKBKHKHY-UHFFFAOYSA-N,,,,,,,,,,,,,
CVVXTANPPIMNTP-KTLUODIZSA-N,Mu-type opioid receptor,,,,,QUUTWUNCRLZYFR-AATRIKPKSA-N,,,,,,,,,,,,,
CVVXTANPPIMNTP-KTLUODIZSA-N,Kappa-type opioid receptor,,,,,IZOHFCRCMJBTBF-YSAQZOOCSA-N,,,,,,,,,,,,,
MCJYXNRYAYCDAR-PPMCTTEPSA-N,Kappa-type opioid receptor,,,,,AWMRTINMSUQIBM-UHFFFAOYSA-N,,,,,,,,,,,,,
MCJYXNRYAYCDAR-PPMCTTEPSA-N,Mu-type opioid receptor,,,,,FYEXOHKTNZXZQH-ZDWHVWGCSA-N,,,,,,,,,,,,,
ZTGGBCGJFNFNKQ-KTLUODIZSA-N,Delta-type opioid receptor,,,,,BBPYIFGRDIJHBN-UHFFFAOYSA-N,,,,,,,,,,,,,
DNVSPOULYYBPLY-WUHZNUJESA-N,Mu-type opioid receptor,,,,,PRBXNWSQINCCHE-UHFFFAOYSA-N,,,,,,,,,,,,,
AGHYRDXIWABZOH-CGBQWWFNSA-N,Mu-type opioid receptor,,,,,WIEPDHSIJOOHOZ-GPNIZQGCSA-N,,,,,,,,,,,,,
MLGZKVPTJOZDIX-RRPNLBNLSA-N,Delta-type opioid receptor,,,,,JRFQTIHUIBASJA-UHFFFAOYSA-N,,,,,,,,,,,,,
QYHVPWDIPSDDCT-QDVRVZIDSA-N,Mu-type opioid receptor,,,,,WZOVPMNMAHNKMI-UHFFFAOYSA-N,,,,,,,,,,,,,
QYHVPWDIPSDDCT-QDVRVZIDSA-N,Kappa-type opioid receptor,,,,,AGLOLGURRWOWKK-UHFFFAOYSA-N,,,,,,,,,,,,,
NZCUONOJSJVNOY-JJIKELEOSA-N,Nociceptin receptor,,,,,XURLJSFUZYYFFZ-UHFFFAOYSA-N,,,,,,,,,,,,,
NZCUONOJSJVNOY-KTLUODIZSA-N,Mu-type opioid receptor,,,,,SNCWTLUHFUIVAC-UHFFFAOYSA-N,,,,,,,,,,,,,
NZCUONOJSJVNOY-KTLUODIZSA-N,Delta-type opioid receptor,,,,,YQQQDWUXMMWJBP-AFEDFDAJSA-N,,,,,,,,,,,,,
NZCUONOJSJVNOY-KTLUODIZSA-N,Kappa-type opioid receptor,,,,,MCPFWFXITVMKRJ-UHFFFAOYSA-N,,,,,,,,,,,,,
URRBIRAPNHYRRK-XOSCKEEYSA-N,Kappa-type opioid receptor,,,,,BGTMDOBDRKDABQ-UHFFFAOYSA-N,,,,,,,,,,,,,
URRBIRAPNHYRRK-XOSCKEEYSA-N,Delta-type opioid receptor,,,,,UDWMEJSZQCWBJH-UHFFFAOYSA-N,,,,,,,,,,,,,
URRBIRAPNHYRRK-XOSCKEEYSA-N,Nociceptin receptor,,,,,XCTOSBRBVBUSSI-UHFFFAOYSA-N,,,,,,,,,,,,,
FZDIMXLFHUBMEZ-KTLUODIZSA-N,Delta-type opioid receptor,,,,,RGAQWGCPPCLXIL-UHFFFAOYSA-N,,,,,,,,,,,,,
FZDIMXLFHUBMEZ-KTLUODIZSA-N,Kappa-type opioid receptor,,,,,HUPDWIIWCCBRMP-ZHODDXKCSA-N,,,,,,,,,,,,,
WXDLWTYKSQMFDU-HCKJFIJVSA-N,Mu-type opioid receptor,,,,,KBTOFMSZECVTGS-UHFFFAOYSA-N,,,,,,,,,,,,,
SIYYPHKKIUALGE-AGVJYFIKSA-N,Mu-type opioid receptor,,,,,VWJLMWIMGWFRII-UHFFFAOYSA-N,,,,,,,,,,,,,
XDPGTKZCXIUYTQ-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,AYRXEJUQWKOIOP-UHFFFAOYSA-N,,,,,,,,,,,,,
CIUZZWVDZRCBDX-UHFFFAOYSA-N,Kappa-type opioid receptor,,,,,UJTGLABUUULACG-RBEDQOGGSA-N,,,,,,,,,,,,,
CIUZZWVDZRCBDX-UHFFFAOYSA-N,Delta-type opioid receptor,,,,,MLFGFYZPPJEPDH-UHFFFAOYSA-N,,,,,,,,,,,,,
CIUZZWVDZRCBDX-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,IZJLHJIJZZCSAE-UHFFFAOYSA-N,,,,,,,,,,,,,
ATCVFCAYHXMHAD-CNZLOUGJSA-N,Kappa-type opioid receptor,,,,,AROJNSXAIBTZKZ-UHFFFAOYSA-N,,,,,,,,,,,,,
ATCVFCAYHXMHAD-NROOJNHISA-N,Kappa-type opioid receptor,,,,,JXNYAJVYDQKBRV-UHFFFAOYSA-N,,,,,,,,,,,,,
QRAJWIFPCXGNCX-BWSICMMHSA-N,Mu-type opioid receptor,,,,,HSAQBTTYVHTZCJ-UHFFFAOYSA-N,,,,,,,,,,,,,
BIEVVYOAIBNIOD-UHFFFAOYSA-N,Kappa-type opioid receptor,,,,,BFWSMMGGCFSUAA-UHFFFAOYSA-N,,,,,,,,,,,,,
BIEVVYOAIBNIOD-UHFFFAOYSA-N,Delta-type opioid receptor,,,,,ZZGMDVZBHCTYDZ-UHFFFAOYSA-N,,,,,,,,,,,,,
BIEVVYOAIBNIOD-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,NFVHRLRUUHMURS-UHFFFAOYSA-N,,,,,,,,,,,,,
VHFKZQZMAGFMSY-JOCHJYFZSA-N,Kappa-type opioid receptor,,,,,CEQHOPZYRCRTMN-UHFFFAOYSA-N,,,,,,,,,,,,,
VHFKZQZMAGFMSY-JOCHJYFZSA-N,Mu-type opioid receptor,,,,,ADQGIQSGEOKLRL-RAGWYKPHSA-N,,,,,,,,,,,,,
VHFKZQZMAGFMSY-JOCHJYFZSA-N,Delta-type opioid receptor,,,,,FEOIETAFCTYQIE-UHFFFAOYSA-N,,,,,,,,,,,,,
GRJYWHVHJJCBMS-XKSFVOKXSA-N,Mu-type opioid receptor,,,,,SRLHPXQPUSGNLH-NLFFAJNJSA-N,,,,,,,,,,,,,
ACGTWYAXONAROP-DNQXCXABSA-N,Mu-type opioid receptor,,,,,CXNQMWBTXBRWLE-UHFFFAOYSA-N,,,,,,,,,,,,,
RPOIPEFQICFLBC-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,PRBMCNUQSIUDRH-OAQYLSRUSA-N,,,,,,,,,,,,,
IXNCUPMYNMLVHD-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,OFPJOMSIYKMXBO-UHFFFAOYSA-N,,,,,,,,,,,,,
XAFOABBARHIQGF-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,VWPKIYFLRDRFNX-UHFFFAOYSA-N,,,,,,,,,,,,,
YEVQRQIMHDCYHB-BKFWDETESA-N,Mu-type opioid receptor,,,,,IHDRRZZOAOZYJS-UHFFFAOYSA-N,,,,,,,,,,,,,
XSGXITVXIZLDNN-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,NZPBORMKRQQWNV-TWVKTKIOSA-N,,,,,,,,,,,,,
WHQPFMYEHBORQQ-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,QJFUIQCTOHSJNO-UHFFFAOYSA-N,,,,,,,,,,,,,
VAFKCMXVSAMWJK-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,OLOBMXLQJQSDPF-UHFFFAOYSA-N,,,,,,,,,,,,,
DWNXBBYXVSGXIV-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,PVOGJENIZFDIAO-BFKPJKFSSA-N,,,,,,,,,,,,,
RNFVATSQPZCTFL-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,MXIFDEWABPGBOL-UHFFFAOYSA-N,,,,,,,,,,,,,
VZLSLBVSXDAJEI-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,QZKVNWJOPNSWQX-UHFFFAOYSA-N,,,,,,,,,,,,,
VCCPPOHHPHYIQZ-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,IXQVTUGHVSDDBK-UHFFFAOYSA-N,,,,,,,,,,,,,
OLNWJINXIKBGQW-NUNAXRQHSA-N,Mu-type opioid receptor,,,,,PTLGLJSTYKQNEY-UHFFFAOYSA-N,,,,,,,,,,,,,
VSWRFLHZJLIZDC-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,HWRQQUXYXHLFNV-UHFFFAOYSA-N,,,,,,,,,,,,,
APFIBTMKZJWVHH-LKUYZAFPSA-N,Mu-type opioid receptor,,,,,UXTIQTCPQUYEFM-XJSRWQIGSA-N,,,,,,,,,,,,,
OUDYUUVZVNMOPP-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,APZHXGIRWMPKDR-UHFFFAOYSA-N,,,,,,,,,,,,,
RPHDOCBCOFZZFY-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,BDLPANZXJUPVDU-UHFFFAOYSA-N,,,,,,,,,,,,,
NLYVZLTWGVINDD-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,SBBYFXIXMFNMNQ-UHFFFAOYSA-N,,,,,,,,,,,,,
WRAWHGUNWYZFJF-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,MEVFKTVEGJUHHI-UHFFFAOYSA-N,,,,,,,,,,,,,
QHRDUVAHHMAWAI-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,MNWMAFFICUVGRW-UHFFFAOYSA-N,,,,,,,,,,,,,
DGQGMYGYVZPSDF-CSZVXOJQSA-N,Mu-type opioid receptor,,,,,BLXCYXQUSIEXTF-UHFFFAOYSA-N,,,,,,,,,,,,,
BSJAIRJURHYEBB-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,LBUMRHRNIHWDBD-UHFFFAOYSA-N,,,,,,,,,,,,,
SOBAXTKZXCMWII-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,VHICOZJIGXAXOC-UHFFFAOYSA-N,,,,,,,,,,,,,
XWFLEYFEKNLMEU-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,PIOCDECZIQSCFV-UHFFFAOYSA-N,,,,,,,,,,,,,
QVMAZSAMKIHHHL-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,BMUHJRCSESNQGV-UHFFFAOYSA-N,,,,,,,,,,,,,
MBHKGHDNJWASRA-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,LYDQCJJNPZBLSS-UHFFFAOYSA-N,,,,,,,,,,,,,
PSAAADXYVOOEGH-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,QVSZFVNYJYNUGG-UHFFFAOYSA-N,,,,,,,,,,,,,
VDOBZFFHOXPQEY-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,ZAIUBAOMYCTCCK-UHFFFAOYSA-N,,,,,,,,,,,,,
LRZFEWAQPXYWOH-KDURUIRLSA-N,Mu-type opioid receptor,,,,,ZOJROTRDOQRJLC-UHFFFAOYSA-N,,,,,,,,,,,,,
OGNMDRLCQRJUJR-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,DBYOLMQXHPITEO-UHFFFAOYSA-N,,,,,,,,,,,,,
LRZFEWAQPXYWOH-WGSAOQKQSA-N,Mu-type opioid receptor,,,,,LILDUHGQHOLNNN-VGURIWQOSA-N,,,,,,,,,,,,,
PJANMOWVUZBDQF-XMMPIXPASA-N,Mu-type opioid receptor,,,,,BHIYWXAOQDVJSZ-UHFFFAOYSA-N,,,,,,,,,,,,,
PJANMOWVUZBDQF-XMMPIXPASA-N,Kappa-type opioid receptor,,,,,IZWWEXYFPQMWAZ-UHFFFAOYSA-N,,,,,,,,,,,,,
PJANMOWVUZBDQF-XMMPIXPASA-N,Delta-type opioid receptor,,,,,HJEPXWAYRWYSJS-RYHLMMNBSA-N,,,,,,,,,,,,,
ZKUFOUJYDOLPRR-FDDCHVKYSA-N,Kappa-type opioid receptor,,,,,ZEIMIZKOLIBIEH-UHFFFAOYSA-N,,,,,,,,,,,,,
ZKUFOUJYDOLPRR-FDDCHVKYSA-N,Delta-type opioid receptor,,,,,DMNOVGJWPASQDL-OAQYLSRUSA-N,,,,,,,,,,,,,
PYVSBJWAXXPDJO-UHFFFAOYSA-N,Kappa-type opioid receptor,,,,,TZXWLEXBWCBJTK-UHFFFAOYSA-N,,,,,,,,,,,,,
PYVSBJWAXXPDJO-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,ZAQBCQUSUXCHKR-UHFFFAOYSA-N,,,,,,,,,,,,,
DJFRCGBULWFDHB-UHFFFAOYSA-N,Delta-type opioid receptor,,,,,SDOIBPHVEMUMEJ-HXUWFJFHSA-N,,,,,,,,,,,,,
DJFRCGBULWFDHB-UHFFFAOYSA-N,Kappa-type opioid receptor,,,,,PWYOWTVTNKWSTQ-UHFFFAOYSA-N,,,,,,,,,,,,,
DJFRCGBULWFDHB-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,VLXGGMZFUUJXRR-UHFFFAOYSA-N,,,,,,,,,,,,,
MBUHOVJAFHBTTO-UHFFFAOYSA-N,Kappa-type opioid receptor,,,,,RFYTZXRMMNQKBP-UHFFFAOYSA-N,,,,,,,,,,,,,
MBUHOVJAFHBTTO-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,RMVRRMAGWIHRBV-UHFFFAOYSA-N,,,,,,,,,,,,,
MLMRRWYWIYDQCC-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,SOYQZAHZNCLEMU-YHTXFFTCSA-N,,,,,,,,,,,,,
WBBOTIMHGGUERU-ASUQIVHDSA-N,Kappa-type opioid receptor,,,,,SOYQZAHZNCLEMU-CSSKISATSA-N,,,,,,,,,,,,,
WBBOTIMHGGUERU-AGQYDFLVSA-N,Kappa-type opioid receptor,,,,,ZNIBWXZDUNBMBR-QWQODOGXSA-N,,,,,,,,,,,,,
VVCARAZTUNHWPO-UHFFFAOYSA-N,Kappa-type opioid receptor,,,,,CLKVQOVJYMOUKD-OOSCYNTBSA-N,,,,,,,,,,,,,
VVCARAZTUNHWPO-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,BAJJIHKMLNYVEG-QEIWAGNOSA-N,,,,,,,,,,,,,
DMOYSEGTQIGQTM-UHFFFAOYSA-N,Kappa-type opioid receptor,,,,,COZZRXOIMLBLRS-BKFWDETESA-N,,,,,,,,,,,,,
DMOYSEGTQIGQTM-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,ONSXQIYRWWZPKH-NUNAXRQHSA-N,,,,,,,,,,,,,
DMOYSEGTQIGQTM-UHFFFAOYSA-N,Delta-type opioid receptor,,,,,VTPKDSOSROLKKH-KOUNCHBCSA-N,,,,,,,,,,,,,
DCAMTBFFNOHDAW-DYTRJAOYSA-N,Mu-type opioid receptor,,,,,KSBSLJKYJXTATP-MDGGQCKNSA-N,,,,,,,,,,,,,
DCAMTBFFNOHDAW-DYTRJAOYSA-N,Kappa-type opioid receptor,,,,,IORJPTSIJDJGHA-WTOXNGCTSA-N,,,,,,,,,,,,,
HBCQQSSZNFVMIR-WCDPBWDZSA-N,Mu-type opioid receptor,,,,,RLUVUNWHULBAHB-CPJSRVTESA-N,,,,,,,,,,,,,
AFKOBULTASCVMS-PMSBKCLSSA-N,Kappa-type opioid receptor,,,,,VTQNVBWUUURPPT-DQNHKJGCSA-N,,,,,,,,,,,,,
KVKKMSGMLQKOOS-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,BRUFUSCPTGDWCD-UHFFFAOYSA-N,,,,,,,,,,,,,
JONWOTUZASTVKJ-UHFFFAOYSA-N,Kappa-type opioid receptor,,,,,WACDWLKWCMUSBZ-UHFFFAOYSA-N,,,,,,,,,,,,,
GGCSSNBKKAUURC-UHFFFAOYSA-N,Mu-type opioid receptor,,,,,ABRQOBFXDMRNOJ-UHFFFAOYSA-N,,,,,,,,,,,,,
GGCSSNBKKAUURC-UHFFFAOYSA-N,Kappa-type opioid receptor,,,,,NWDCTXUFRKENTN-IBGZPJMESA-N,,,,,,,,,,,,,
HWXKCCDLLDWFIH-UICACZKSSA-N,Delta-type opioid receptor,,,,,MUONIRNLLGRCTP-SFHVURJKSA-N,,,,,,,,,,,,,
HWXKCCDLLDWFIH-UICACZKSSA-N,Mu-type opioid receptor,,,,,MLAUBNUNAKNFHB-IBGZPJMESA-N,,,,,,,,,,,,,
HWXKCCDLLDWFIH-UICACZKSSA-N,Kappa-type opioid receptor,,,,,QPZPCDQETGMDJR-SFHVURJKSA-N,,,,,,,,,,,,,
OJHQLDQVBAFNJM-ZWRJDUBHSA-N,Kappa-type opioid receptor,,,,,DSMPYVZTHHPQKD-ZOCRFEQASA-N,,,,,,,,,,,,,
OJHQLDQVBAFNJM-ZWRJDUBHSA-N,Delta-type opioid receptor,,,,,YRWTXLOIJMVJMG-PAMZHZACSA-N,,,,,,,,,,,,,
HPLRGHPULWMCLT-JLJPHGGASA-N,Mu-type opioid receptor,,,,,AZPNFSQLWYZXGK-UHFFFAOYSA-N,,,,,,,,,,,,,
JNJFKTKRRMLCEB-GMIGKAJZSA-N,Mu-type opioid receptor,,,,,WZWSGIKJEHXDIO-UHFFFAOYSA-N,,,,,,,,,,,,,
JNJFKTKRRMLCEB-GMIGKAJZSA-N,Delta-type opioid receptor,,,,,LVZWQSSWZVLAGU-IVJVFBROSA-N,,,,,,,,,,,,,
JNJFKTKRRMLCEB-GMIGKAJZSA-N,Kappa-type opioid receptor,,,,,ZCLPHNKXKGRTBI-UHFFFAOYSA-N,,,,,,,,,,,,,
VECXQDCLXMGFFX-NWLHHKGPSA-N,Kappa-type opioid receptor,,,,,GEUGRQYYFPZRCQ-HXUWFJFHSA-N,,,,,,,,,,,,,
VECXQDCLXMGFFX-NWLHHKGPSA-N,Mu-type opioid receptor,,,,,JHRCZIKHMOJCKF-UHFFFAOYSA-N,,,,,,,,,,,,,
ASOVJVGZJDVADR-UCDXVGGRSA-N,Kappa-type opioid receptor,,,,,GEUGRQYYFPZRCQ-FQEVSTJZSA-N,,,,,,,,,,,,,
ASOVJVGZJDVADR-UCDXVGGRSA-N,Mu-type opioid receptor,,,,,RVVBOCHPYMFNAM-UHFFFAOYSA-N,,,,,,,,,,,,,
ASOVJVGZJDVADR-UCDXVGGRSA-N,Delta-type opioid receptor,,,,,FMLMIEMOPQJALA-UHFFFAOYSA-N,,,,,,,,,,,,,
UQCNKQCJZOAFTQ-ISWURRPUSA-N,Kappa-type opioid receptor,,,,,LUNBRGQUEKUTRC-UHFFFAOYSA-N,,,,,,,,,,,,,
YJWDKWRVFJZBCJ-QVJDATKISA-N,Kappa-type opioid receptor,,,,,MAMHQPZLTJIILN-UHFFFAOYSA-N,,,,,,,,,,,,,
ZVDXMVLKAYBGOS-WTRWFAFPSA-N,Mu-type opioid receptor,,,,,JAGRUTRHAYBFKA-RDGDOILBSA-N,,,,,,,,,,,,,
HTAHBFYBVSEOLD-HCKRNOBXSA-N,Mu-type opioid receptor,,,,,JVMCXCLDIPSMCE-SNYIIPAISA-N,,,,,,,,,,,,,
OZMMGQIVASFHMT-MGUFQOSJSA-N,Delta-type opioid receptor,,,,,ZENJJVXHAVZHMF-QAMLKSHRSA-N,,,,,,,,,,,,,
